[Header]\r\n2013-09-17 08:17:28,592 [10] INFO  ThemeSim.ThemeSim TestForm loading...
2013-09-17 08:21:06,847 [10] INFO  ThemeSim.ThemeElements.ThemeElement Successful Regist ThemeSim.ThemeSettings.ImageContainerResourcesSetting -> ThemeSim.ThemeElements.ImageContainerResources.
2013-09-17 08:21:06,848 [10] INFO  ThemeSim.ThemeElements.ThemeElement Regist ThemeSim.ThemeSettings.ImageDirectoryResourcesSetting -> ThemeSim.ThemeElements.ImageDirectoryResources.
2013-09-17 08:21:06,849 [10] INFO  ThemeSim.ThemeElements.ThemeElement Successful Regist ThemeSim.ThemeSettings.ImageDirectoryResourcesSetting -> ThemeSim.ThemeElements.ImageDirectoryResources.
2013-09-17 08:21:06,856 [10] INFO  ThemeSim.ThemeSimulator Load Resource 'c100dts2a' -> ./c100dts2a
2013-09-17 08:21:06,857 [10] INFO  ThemeSim.ThemeSimulator Load Resource 'c100dts2b' -> ./c100dts2b
2013-09-17 08:21:06,858 [10] INFO  ThemeSim.ThemeSimulator Load Resource 'battery' -> ./battery
2013-09-17 08:21:06,864 [10] INFO  ThemeSim.ThemeSimulator Load Control 'img电池' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:21:06,865 [10] INFO  ThemeSim.ThemeSimulator Load Control 'img左箭头' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:21:06,867 [10] INFO  ThemeSim.ThemeSimulator Load Control 'img右箭头' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:21:06,869 [10] INFO  ThemeSim.ThemeSimulator Load Control 'img大选择框' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:21:06,872 [10] INFO  ThemeSim.ThemeSimulator Load Control 'img图标' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:21:06,875 [10] INFO  ThemeSim.ThemeSimulator Load Control 'img图标Bar' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:21:06,882 [10] INFO  ThemeSim.ThemeSimulator Load Control 'img电量' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:21:06,883 [10] INFO  ThemeSim.ThemeSimulator Load Screen 'MainScreen' -> ThemeSim.ThemeSettings.ScreenSetting
2013-09-17 08:21:06,884 [10] INFO  ThemeSim.ThemeSimulator Load Screen 'BetteryScreen' -> ThemeSim.ThemeSettings.ScreenSetting
[Header]\r\n2013-09-17 08:21:27,080 [10] INFO  ThemeSim.ThemeSimulator TestForm loading...
2013-09-17 08:21:27,311 [10] INFO  ThemeSim.ThemeElements.ThemeElement Regist ThemeSim.ThemeSettings.TextSetting -> ThemeSim.ThemeElements.TextControl.
2013-09-17 08:21:27,311 [10] INFO  ThemeSim.ThemeElements.ThemeElement Successful Regist ThemeSim.ThemeSettings.TextSetting -> ThemeSim.ThemeElements.TextControl.
2013-09-17 08:21:27,311 [10] INFO  ThemeSim.ThemeElements.ThemeElement Regist ThemeSim.ThemeSettings.ImageSetting -> ThemeSim.ThemeElements.ImageControl.
2013-09-17 08:21:27,312 [10] INFO  ThemeSim.ThemeElements.ThemeElement Successful Regist ThemeSim.ThemeSettings.ImageSetting -> ThemeSim.ThemeElements.ImageControl.
2013-09-17 08:21:27,312 [10] INFO  ThemeSim.ThemeElements.ThemeElement Regist ThemeSim.ThemeSettings.ScreenSetting -> ThemeSim.ThemeElements.ScreenControl.
2013-09-17 08:21:27,312 [10] INFO  ThemeSim.ThemeElements.ThemeElement Successful Regist ThemeSim.ThemeSettings.ScreenSetting -> ThemeSim.ThemeElements.ScreenControl.
2013-09-17 08:21:27,312 [10] INFO  ThemeSim.ThemeElements.ThemeElement Regist ThemeSim.ThemeSettings.ImageContainerResourcesSetting -> ThemeSim.ThemeElements.ImageContainerResources.
2013-09-17 08:21:27,312 [10] INFO  ThemeSim.ThemeElements.ThemeElement Successful Regist ThemeSim.ThemeSettings.ImageContainerResourcesSetting -> ThemeSim.ThemeElements.ImageContainerResources.
2013-09-17 08:21:27,314 [10] INFO  ThemeSim.ThemeElements.ThemeElement Regist ThemeSim.ThemeSettings.ImageDirectoryResourcesSetting -> ThemeSim.ThemeElements.ImageDirectoryResources.
2013-09-17 08:21:27,314 [10] INFO  ThemeSim.ThemeElements.ThemeElement Successful Regist ThemeSim.ThemeSettings.ImageDirectoryResourcesSetting -> ThemeSim.ThemeElements.ImageDirectoryResources.
2013-09-17 08:21:27,323 [10] INFO  ThemeSim.ThemeSimulator Load Resource 'c100dts2a' -> ./c100dts2a
2013-09-17 08:21:27,323 [10] INFO  ThemeSim.ThemeSimulator Load Resource 'c100dts2b' -> ./c100dts2b
2013-09-17 08:21:27,324 [10] INFO  ThemeSim.ThemeSimulator Load Resource 'battery' -> ./battery
2013-09-17 08:21:27,330 [10] INFO  ThemeSim.ThemeSimulator Load Control 'img电池' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:21:27,332 [10] INFO  ThemeSim.ThemeSimulator Load Control 'img左箭头' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:21:27,334 [10] INFO  ThemeSim.ThemeSimulator Load Control 'img右箭头' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:21:27,335 [10] INFO  ThemeSim.ThemeSimulator Load Control 'img大选择框' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:21:27,338 [10] INFO  ThemeSim.ThemeSimulator Load Control 'img图标' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:21:27,340 [10] INFO  ThemeSim.ThemeSimulator Load Control 'img图标Bar' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:21:27,347 [10] INFO  ThemeSim.ThemeSimulator Load Control 'img电量' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:21:27,349 [10] INFO  ThemeSim.ThemeSimulator Load Screen 'MainScreen' -> ThemeSim.ThemeSettings.ScreenSetting
2013-09-17 08:21:27,349 [10] INFO  ThemeSim.ThemeSimulator Load Screen 'BetteryScreen' -> ThemeSim.ThemeSettings.ScreenSetting
[Header]\r\n2013-09-17 08:21:48,377 [10] INFO  ThemeSim.ThemeSimulator TestForm loading...
2013-09-17 08:21:48,594 [10] INFO  ThemeSim.ThemeElements.ThemeElement Regist ThemeSim.ThemeSettings.TextSetting -> ThemeSim.ThemeElements.TextControl.
2013-09-17 08:21:48,595 [10] INFO  ThemeSim.ThemeElements.ThemeElement Successful Regist ThemeSim.ThemeSettings.TextSetting -> ThemeSim.ThemeElements.TextControl.
2013-09-17 08:21:48,595 [10] INFO  ThemeSim.ThemeElements.ThemeElement Regist ThemeSim.ThemeSettings.ImageSetting -> ThemeSim.ThemeElements.ImageControl.
2013-09-17 08:21:48,595 [10] INFO  ThemeSim.ThemeElements.ThemeElement Successful Regist ThemeSim.ThemeSettings.ImageSetting -> ThemeSim.ThemeElements.ImageControl.
2013-09-17 08:21:48,595 [10] INFO  ThemeSim.ThemeElements.ThemeElement Regist ThemeSim.ThemeSettings.ScreenSetting -> ThemeSim.ThemeElements.ScreenControl.
2013-09-17 08:21:48,595 [10] INFO  ThemeSim.ThemeElements.ThemeElement Successful Regist ThemeSim.ThemeSettings.ScreenSetting -> ThemeSim.ThemeElements.ScreenControl.
2013-09-17 08:21:48,595 [10] INFO  ThemeSim.ThemeElements.ThemeElement Regist ThemeSim.ThemeSettings.ImageContainerResourcesSetting -> ThemeSim.ThemeElements.ImageContainerResources.
2013-09-17 08:21:48,596 [10] INFO  ThemeSim.ThemeElements.ThemeElement Successful Regist ThemeSim.ThemeSettings.ImageContainerResourcesSetting -> ThemeSim.ThemeElements.ImageContainerResources.
2013-09-17 08:21:48,597 [10] INFO  ThemeSim.ThemeElements.ThemeElement Regist ThemeSim.ThemeSettings.ImageDirectoryResourcesSetting -> ThemeSim.ThemeElements.ImageDirectoryResources.
2013-09-17 08:21:48,599 [10] INFO  ThemeSim.ThemeElements.ThemeElement Successful Regist ThemeSim.ThemeSettings.ImageDirectoryResourcesSetting -> ThemeSim.ThemeElements.ImageDirectoryResources.
2013-09-17 08:21:48,608 [10] INFO  ThemeSim.ThemeSimulator Load Resource 'c100dts2a' -> ./c100dts2a
2013-09-17 08:21:48,609 [10] INFO  ThemeSim.ThemeSimulator Load Resource 'c100dts2b' -> ./c100dts2b
2013-09-17 08:21:48,609 [10] INFO  ThemeSim.ThemeSimulator Load Resource 'battery' -> ./battery
2013-09-17 08:21:48,616 [10] INFO  ThemeSim.ThemeSimulator Load Control 'img电池' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:21:48,618 [10] INFO  ThemeSim.ThemeSimulator Load Control 'img左箭头' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:21:48,620 [10] INFO  ThemeSim.ThemeSimulator Load Control 'img右箭头' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:21:48,622 [10] INFO  ThemeSim.ThemeSimulator Load Control 'img大选择框' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:21:48,625 [10] INFO  ThemeSim.ThemeSimulator Load Control 'img图标' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:21:48,628 [10] INFO  ThemeSim.ThemeSimulator Load Control 'img图标Bar' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:21:48,635 [10] INFO  ThemeSim.ThemeSimulator Load Control 'img电量' -> ThemeSim.ThemeSettings.ImageSetting
2013-09-17 08:21:48,637 [10] INFO  ThemeSim.ThemeSimulator Load Screen 'MainScreen' -> ThemeSim.ThemeSettings.ScreenSetting
2013-09-17 08:21:48,637 [10] INFO  ThemeSim.ThemeSimulator Load Screen 'BetteryScreen' -> ThemeSim.ThemeSettings.ScreenSetting
[Header]\r\n2013-09-17 08:22:10,327 [10] INFO  ThemeSim.ThemeSimulator TestForm loading...
2013-09-17 08:22:10,563 [10] INFO  ThemeSim.ThemeElements.ThemeElement Regist ThemeSim.ThemeSettings.TextSetting -> ThemeSim.ThemeElements.TextControl.
2013-09-17 08:22:10,563 [10] INFO  ThemeSim.ThemeElements.ThemeElement Successful Regist ThemeSim.ThemeSettings.TextSetting -> ThemeSim.ThemeElements.TextControl.
2013-09-17 08:22:10,563 [10] INFO  ThemeSim.ThemeElements.ThemeElement Regist ThemeSim.ThemeSettings.ImageSetting -> ThemeSim.ThemeElements.ImageControl.
2013-09-17 08:22:10,564 [10] INFO  ThemeSim.ThemeElements.ThemeElement Successful Regist ThemeSim.ThemeSettings.ImageSetting -> ThemeSim.ThemeElements.ImageControl.
2013-09-17 08:22:10,564 [10] INFO  ThemeSim.ThemeElements.ThemeElement Regist ThemeSim.ThemeSettings.ScreenSetting -> ThemeSim.ThemeElements.ScreenControl.
2013-09-17 08:22:10,564 [10] INFO  ThemeSim.ThemeElements.ThemeElement Successful Regist ThemeSim.ThemeSettings.ScreenSetting -> ThemeSim.ThemeElements.ScreenControl.
2013-09-17 08:22:10,564 [10] INFO  ThemeSim.ThemeElements.ThemeElement Regist ThemeSim.ThemeSettings.ImageContainerResourcesSetting -> ThemeSim.ThemeElements.ImageContainerResources.
2013-09-17 08:22:10,564 [10] INFO  ThemeSim.ThemeElements.ThemeElement Successful Regist ThemeSim.ThemeSettings.ImageContainerResourcesSetting -> ThemeSim.ThemeElements.ImageContainerResources.
2013-09-17 08:22:10,565 [10] INFO  ThemeSim.ThemeElements.ThemeElement Regist ThemeSim.ThemeSettings.ImageDirectoryResourcesSetting -> ThemeSim.ThemeElements.ImageDirectoryResources.
2013-09-17 08:22:10,566 [10] INFO  ThemeSim.ThemeElements.ThemeElement Successful Regist ThemeSim.ThemeSettings.ImageDirectoryResourcesSetting -> ThemeSim.ThemeElements.ImageDirectoryResources.
2013-09-17 08:22:10,573 [10] INFO  ThemeSim.ThemeSimulator Load Resource 'c100dts2a' -> ./c100dts2a
